Cluster,RAdeg,DEdeg,log(Age),E(B-V),pmRA,pmDE,plx,Dist,NBSS,NYSS,Notes
Berkeley_17,80.13,30.574,10,0.58,2.618,-0.35,0.281,3229.7,20,0,
Collinder_261,189.519,-68.377,9.95,0.27,-6.351,-2.705,0.315,2903.7,53,3,*
NGC_6791,290.221,37.778,9.92,0.16,-0.421,-2.269,0.192,4530.8,48,0,*
Berkeley_39,116.702,-4.665,9.9,0.12,-1.73,-1.645,0.201,4357.3,18,2,*
NGC_188,11.798,85.244,9.88,0.036,-2.307,-0.96,0.507,1864.3,22,0,
Berkeley_20,83.152,0.185,9.78,0.12,0.808,-0.244,0.04,14402.1,6,3,
King_2,12.741,58.188,9.78,0.31,-1.358,-0.824,0.166,5136,26,2,*
NGC_6253,254.778,-52.712,9.7,0.2,-4.537,-5.28,0.563,1689.7,14,3,
Berkeley_32,104.53,6.433,9.7,0.15,-0.335,-1.608,0.28,3237.2,27,2,*
NGC_1193,46.486,44.383,9.7,0.19,-0.125,-0.329,0.159,5309.6,12,2,
Berkeley_70,81.457,41.951,9.67,0.48,0.947,-1.864,0.177,4849.6,12,1,*
Berkeley_18,80.531,45.442,9.63,0.46,0.849,-0.057,0.152,5523.5,32,0,*
Berkeley_12,71.1,42.691,9.6,0.7,0.836,-1.713,0.202,4324,13,0,
Trumpler_5,99.126,9.465,9.6,0.62,-0.59,0.273,0.284,3192.5,103,2,*
NGC_7142,326.29,65.782,9.55,0.35,-2.747,-1.288,0.392,2376.4,10,1,
Melotte_66,111.573,-47.685,9.53,0.15,-1.474,2.745,0.183,4722,14,1,*
Berkeley_22,89.618,7.763,9.52,0.59,0.648,-0.473,0.069,10149.1,3,0,*
NGC_7789,359.334,56.726,9.52,0.59,-0.922,-1.933,0.453,2074.7,16,0,*
Berkeley_99,350.26,71.778,9.5,0.3,-3.139,-0.359,0.137,6029.4,5,1,
NGC_2682,132.846,11.814,9.45,0.03,-10.986,-2.964,1.135,859.1,11,2,
Berkeley_19,81.014,29.575,9.4,0.32,0.757,-0.329,0.135,6106.9,13,3,
NGC_6819,295.327,40.19,9.36,0.16,-2.916,-3.856,0.356,2599.5,15,0,*
Berkeley_21,87.93,21.812,9.34,0.76,0.562,-1.051,0.159,5312.7,20,0,*
Berkeley_31,104.406,8.285,9.31,0.08,0.169,-0.926,0.141,5900.6,6,0,
NGC_2420,114.602,21.575,9.3,0.04,-1.19,-2.125,0.363,2552.9,3,0,*
NGC_6939,307.917,60.653,9.2,0.33,-1.841,-5.413,0.506,1868.5,2,0,
NGC_2112,88.452,0.403,9.25,0.6,-2.713,4.27,0.877,1103.6,4,0,
NGC_1798,77.914,47.691,9.25,0.47,0.913,-0.318,0.178,4834.5,27,2,*
NGC_2141,90.734,10.451,9.23,0.25,-0.028,-0.767,0.196,4441.3,18,3,*
IC_1311,302.697,41.177,9.2,0.28,-3.364,-5.047,0.124,6513.3,5,1,*
Berkeley_14,74.935,43.488,9.2,0.52,1.504,0.426,0.187,4626.7,9,0,
Gulliver_55,297.833,18.661,9.2,0.28,-2.043,-2.53,0.369,2513.2,3,0,*
NGC_2354,108.503,-25.724,9.18,0.18,-2.885,1.832,0.753,1278.5,5,1,*
NGC_752,29.223,37.794,9.16,0.03,9.81,-11.713,2.239,441,0,1,*
Gulliver_4,122.164,-37.5,9.16,0.5,-2.912,3.033,0.3,3042.1,4,0,*
NGC_2192,93.819,39.846,9.15,0.16,0.193,-1.962,0.223,3963.1,1,1,
Collinder_110,99.677,2.069,9.15,0.5,-1.091,-2.049,0.425,2204.3,8,0,*
NGC_2658,130.868,-32.662,9.15,0.04,-2.481,2.269,0.197,4430.9,0,0,
Ruprecht_75,140.486,-56.314,9.15,0.24,-6.118,4.995,0.202,4335.3,1,3,
NGC_2627,129.309,-29.952,9.15,0.12,-2.381,2.879,0.521,1816.7,3,0,
Gulliver_1,161.582,-57.034,9.13,0.22,-7.926,3.582,0.323,2837.3,3,0,*
Trumpler_20,189.882,-60.637,9.11,0.46,-7.089,0.18,0.251,3568,12,1,*
Collinder_74,87.17,7.374,9.11,0.38,1.011,-1.512,0.379,2452.7,5,0,
NGC_3960,177.644,-55.679,9.1,0.29,-6.522,1.853,0.4,2333.2,2,0,
King_5,48.682,52.695,9.1,0.7,-0.282,-1.2,0.367,2523.6,4,3,
NGC_7044,318.284,42.494,9.1,0.66,-4.976,-5.526,0.273,3315.6,7,0,*
IC_166,28.094,61.857,9,0.8,-1.439,1.126,0.175,4909.1,9,2,*
Pismis_18,204.227,-62.091,9.08,0.5,-5.658,-2.286,0.332,2768.6,0,0,*
NGC_6005,238.955,-57.439,9.08,0.45,-4.011,-3.81,0.362,2559.2,3,0,
NGC_3680,171.392,-43.24,9.07,0.06,-7.278,1.118,0.933,1039.5,1,1,*
Pismis_2,124.477,-41.674,9.06,0.05,-4.756,5.325,0.221,4000.8,0,0,
IC_4651,261.212,-49.917,9.05,0.11,-2.41,-5.064,1.056,921.3,5,1,
King_11,356.912,68.636,9.04,1.27,-3.358,-0.643,0.262,3433.2,18,0,*
NGC_2660,130.667,-47.201,9.03,0.31,-2.763,5.165,0.308,2969.7,2,0,*
NGC_2204,93.882,-18.67,8.89,0.08,-0.56,1.964,0.209,4204.1,7,2,
NGC_2243,97.395,-31.282,9.03,0.05,-1.279,5.488,0.211,4167.8,14,1,*
Pismis_3,127.834,-38.64,9.02,1.3,-4.809,6.645,0.403,2316.1,4,1,*
NGC_2158,91.862,24.099,9.02,0.36,-0.177,-2.002,0.192,4535.1,39,3,*
Berkeley_29,103.268,16.93,9.02,0.15,0.151,-1.01,0.023,19244.6,1,1,*
Tombaugh_2,105.773,-20.82,9.01,0.3,-0.464,1.349,0.079,9273.3,27,2,
NGC_2849,139.85,-40.52,9,0.32,-4.272,3.519,0.142,5851.6,2,0,
NGC_6583,273.962,-22.143,9,0.51,1.303,0.11,0.413,2262.1,1,0,
NGC_1245,48.691,47.235,9.03,0.24,0.504,-1.579,0.289,3147.7,5,1,*
NGC_2506,120.01,-10.773,9,0.1,-2.571,3.912,0.292,3114.5,14,0,
Berkeley_81,285.419,-0.454,9,1,-1.204,-1.853,0.254,3534.3,1,2,
Tombaugh_1,105.126,-20.569,8.98,0.3,-2.564,3.833,0.371,2502.2,0,0,
NGC_5822,226.051,-54.366,8.95,0.1,-7.422,-5.534,1.187,822.3,1,0,*
Berkeley_69,81.09,32.607,8.95,0.65,0.806,-1.937,0.259,3472.2,1,1,
NGC_6134,246.953,-49.161,8.95,0.35,2.184,-4.483,0.846,1143.2,4,0,
NGC_6866,300.983,44.158,8.91,0.07,-1.365,-5.743,0.686,1398.3,1,0,
NGC_5823,226.365,-55.608,8.9,0.09,-3.691,-2.443,0.521,1818.5,0,1,
Berkeley_33,104.456,-13.227,8.9,0.36,-0.73,1.551,0.144,5793,1,0,
Berkeley_23,98.318,20.535,8.9,0.4,-0.055,-1.339,0.151,5569,8,3,*
NGC_2355,109.247,13.772,8.9,0.22,-3.802,-1.086,0.497,1901.7,0,0,
BH_66,141.314,-54.719,8.9,0.4,-4.157,3.599,0.097,7927.3,0,0,
Gulliver_51,30.335,63.801,8.9,0.37,-4.892,-0.149,0.647,1479.6,0,0,*
Berkeley_104,0.865,63.587,8.89,0.45,-2.392,0.09,0.198,4407,1,0,
NGC_2632,130.054,19.621,8.87,0.02,-36.09,-12.919,5.361,185.5,1,0,*
NGC_6940,308.626,28.278,8.85,0.21,-1.954,-9.413,0.947,1024.6,2,0,*
NGC_2215,95.199,-7.277,8.85,0.26,0.436,-3.673,1.021,952.5,0,0,
NGC_2533,121.773,-29.872,8.84,0.14,-3.189,5.041,0.329,2796.7,1,0,
Haffner_6,109.998,-13.151,8.82,0.45,-1.22,1.96,0.204,4285,1,0,
King_7,59.783,51.785,8.82,1.25,1.121,-1.196,0.286,3171.8,7,1,
Gulliver_36,123.185,-35.111,8.81,0.05,-0.236,0.609,0.725,1326.7,0,0,*
Gulliver_39,163.697,-58.05,8.91,0.23,-4.407,1.274,0.335,2747.5,0,0,*
NGC_2353,108.641,-10.257,8.1,0.1,-1.121,0.72,0.816,1183.6,0,0,
NGC_2360,109.443,-15.631,8.8,0.01,0.383,5.603,0.902,1074.4,1,0,
NGC_2266,100.832,26.976,8.8,0.2,-0.473,-1.272,0.273,3313.8,1,0,
NGC_2477,118.046,-38.537,8.85,0.31,-2.449,0.87,0.665,1441,5,4,
NGC_2304,103.802,17.984,8.8,0.1,-0.024,-1.514,0.219,4041.7,0,0,
Harvard_8,199.543,-67.079,8.75,0.3,-5.48,-0.405,0.357,2591.5,1,0,
NGC_1342,52.894,37.38,8.65,0.31,0.52,-1.604,1.502,653.2,1,0,
NGC_2324,106.033,1.046,8.65,0.25,-0.309,-0.094,0.191,4541.7,1,0,
NGC_6633,276.845,6.615,8.62,0.18,1.198,-1.811,2.525,391.6,1,0,*
NGC_2818,139.044,-36.624,8.62,0.12,-4.439,4.528,0.275,3287.7,5,0,
NGC_1817,78.139,16.696,8.61,0.33,0.485,-0.89,0.551,1723,3,0,*
King_8,87.324,33.633,8.61,0.58,0.52,-1.743,0.131,6241.1,3,0,
NGC_2447,116.141,-23.853,8.58,0.04,-3.551,5.068,0.968,1002.8,1,0,*
Melotte_105,169.92,-63.486,8.55,0.83,-6.771,2.133,0.407,2291.7,1,0,
King_19,347.053,60.523,8.55,0.54,-4.838,-2.651,0.343,2687.7,1,0,
NGC_2099,88.074,32.545,8.54,0.3,1.924,-5.648,0.666,1438.1,1,0,
NGC_2259,99.633,10.885,8.5,0.59,-0.273,-1.032,0.326,2818.7,4,0,
NGC_1907,82.033,35.33,8.5,0.52,-0.04,-3.418,0.611,1563.3,1,0,
NGC_1912,82.167,35.824,8.5,0.25,1.58,-4.424,0.874,1107.4,1,0,
Berkeley_58,0.063,60.937,8.47,0.72,-3.498,-1.782,0.282,3216.5,1,0,
NGC_6475,268.447,-34.841,8.47,0.1,3.099,-5.426,3.572,277.7,1,0,
NGC_2383,111.174,-20.949,8.45,0.33,-1.646,1.907,0.284,3189.5,1,0,
NGC_6705,282.766,-6.272,8.4,0.42,-1.568,-4.144,0.427,2195,2,1,
NGC_2437,115.445,-14.844,8.4,0.1,-3.838,0.365,0.603,1582.3,1,3,
Melotte_71,114.383,-12.065,8.37,0.11,-2.446,4.21,0.434,2160.4,5,0,*
NGC_4815,194.499,-64.96,8.36,0.8,-5.754,-0.964,0.261,3452.5,1,0,
NGC_559,22.387,63.301,8.35,0.82,-4.258,0.254,0.325,2828.9,1,0,
NGC_6603,274.616,-18.409,8.75,0.79,0.119,-2.042,0.324,2831.6,4,0,*
NGC_2168,92.272,24.336,8.25,0.2,2.308,-2.905,1.131,862.4,1,0,
NGC_6124,246.332,-40.661,8.14,0.75,-0.203,-2.094,1.557,630.5,2,0,*
NGC_3114,150.553,-60.041,8.09,0.06,-7.376,3.779,0.954,1017.3,0,1,
NGC_6067,243.299,-54.227,8.07,0.38,-1.907,-2.586,0.443,2120.6,2,1,
NGC_2516,119.527,-60.8,8.05,0.1,-4.748,11.221,2.417,408.9,1,0,*
Trumpler_9,118.911,-25.888,8,0.24,-3.402,3.069,0.339,2718.8,1,0,
NGC_5168,202.791,-60.945,8,0.43,-4.131,-1.478,0.28,3237.3,6,0,
NGC_1444,57.361,52.658,7.96,0.71,-0.746,-1.829,0.832,1161.1,2,0,
NGC_6025,240.779,-60.43,7.88,0.15,-2.901,-3.035,1.269,770.4,1,0,
NGC_2422,114.147,-14.489,7.86,0.07,-7.057,0.993,2.07,476.4,1,0,
Waterloo_7,111.532,-15.09,7.76,0.41,-1.514,1.695,0.27,3345.8,1,0,*
NGC_7790,359.613,61.21,7.74,0.53,-3.276,-1.677,0.269,3359.2,1,0,
IC_361,64.736,58.252,7.71,1.11,1.721,-1.139,0.227,3909,2,0,
NGC_1496,61.111,52.668,8.8,0.45,1.511,-0.756,0.612,1559.4,0,0,
NGC_6811,294.34,46.378,8.79,0.16,-3.399,-8.812,0.87,1112.5,0,0,
NGC_1901,79.561,-68.294,8.78,0.03,1.537,12.67,2.358,419,0,0,
Ruprecht_115,243.215,-52.393,8.78,0.65,-4.333,-4.546,0.366,2529.9,0,0,*
Gulliver_23,304.255,38.055,8.76,0.82,-2.446,-4.444,0.246,3643,0,0,*
Pismis_7,130.287,-38.699,8.7,0.69,-3.312,2.793,0.15,5571.5,0,0,
IC_4756,279.649,5.435,8.69,0.19,1.26,-4.927,2.093,471.3,0,0,
NGC_2482,118.787,-24.263,8.55,0.11,-4.722,2.189,0.72,1334.6,0,0,*
NGC_2527,121.246,-28.122,8.91,0.06,-5.549,7.275,1.536,639.1,0,0,*
IC_1369,318.033,47.77,8.46,0.66,-4.644,-5.609,0.262,3436.5,0,0,*
Coin_2,15.06,55.409,8.63,0.28,-4.457,-1.933,0.787,1225.9,0,0,*
NGC_1662,72.198,10.882,8.95,0.19,-1.128,-1.962,2.4,411.7,0,0,*
NGC_7209,331.224,46.508,8.53,0.17,2.255,0.283,0.82,1177.7,0,0,*
NGC_1528,63.878,51.218,8.59,0.25,2.181,-2.246,0.948,1023.9,0,0,*
NGC_2311,104.455,-4.616,8.6,0.33,-1.343,0.93,0.462,2036.4,0,0,
NGC_2548,123.412,-5.726,8.6,0.03,-1.313,1.029,1.289,758.8,0,0,
NGC_6631,276.79,-12.029,8.6,0.45,-0.388,-2.918,0.329,2791.9,0,0,
NGC_5999,238.046,-56.482,8.6,0.45,-3.389,-4.216,0.326,2813.1,0,0,
NGC_2539,122.658,-12.834,8.57,0.08,-2.331,-0.584,0.754,1277.4,0,0,
NGC_2281,102.091,41.06,8.55,0.06,-2.946,-8.321,1.896,519.4,0,0,
IC_2714,169.373,-62.719,8.55,0.31,-7.597,2.639,0.719,1337.9,0,0,*
Gulliver_21,106.961,-25.462,8.53,0.05,-1.929,4.205,1.504,652.2,0,0,*
NGC_2236,97.416,6.834,8.53,0.47,-0.752,0.01,0.35,2639.8,0,0,
NGC_2194,93.44,12.813,8.51,0.38,0.535,-1.468,0.263,3424.6,0,0,*
Gulliver_27,146.088,-54.117,8.5,0.6,-4.658,3.467,0.322,2850.4,0,0,*
Haffner_8,110.777,-12.31,8.5,0.03,-1.626,0.446,0.314,2914.1,0,0,
NGC_381,17.094,61.586,8.5,0.4,1.602,-2.263,0.847,1141.4,0,0,
Ruprecht_98,179.715,-64.581,8.5,0.16,-4.114,-8.632,2.044,482.3,0,0,
NGC_6281,256.179,-37.948,8.49,0.14,-1.856,-4.017,1.873,525.8,0,0,
Stock_1,294.146,25.163,8.67,0.12,6.034,0.302,2.447,403.8,0,0,
NGC_2287,101.499,-20.716,8.48,0.01,-4.339,-1.381,1.36,720.1,0,0,*
Berkeley_30,104.438,3.229,8.48,0.5,-0.252,-0.33,0.164,5192.5,0,0,
NGC_3532,166.417,-58.707,8.6,0.02,-10.385,5.175,2.066,477.4,0,0,
NGC_6494,269.237,-18.987,8.68,0.27,0.284,-1.809,1.354,723.2,0,0,
NGC_3496,164.877,-60.335,8.47,0.46,-7.408,2.668,0.391,2379.3,0,0,
NGC_2374,111.016,-13.235,8.58,0.13,-4.665,0.659,0.76,1267.2,0,0,*
NGC_2567,124.645,-30.631,8.54,0.15,-2.955,2.58,0.542,1750.6,0,0,*
NGC_1664,72.763,43.676,8.46,0.25,1.703,-5.738,0.734,1310.2,0,0,
NGC_1545,65.202,50.221,8.01,0.29,-1.957,-0.082,1.367,716.5,0,0,*
NGC_7092,322.889,48.247,8.49,0.01,-7.477,-19.738,3.337,297.1,0,0,*
NGC_6152,248.213,-52.629,8.65,0.2,-2.511,-4.98,0.594,1606.1,0,0,*
NGC_2251,98.68,8.337,8.42,0.18,0.697,-3.806,0.658,1454.9,0,0,
NGC_1027,40.677,61.616,8.4,0.41,-1.753,2.09,0.882,1097.8,0,0,
King_15,8.262,61.854,8.4,0.7,-2.326,-0.862,0.306,2987.5,0,0,
NGC_136,7.896,61.506,8.4,0.7,-1.648,-0.522,0.181,4767.3,0,0,
King_6,51.982,56.444,8.4,0.5,3.864,-1.814,1.346,727.3,0,0,
Collinder_463,27.031,71.738,8.42,0.26,-1.715,-0.307,1.137,857.5,0,0,*
Gulliver_52,161.669,-59.508,8.33,0.5,-4.755,1.47,0.396,2350.8,0,0,*
NGC_6259,255.195,-44.678,8.33,0.49,-1.015,-2.892,0.408,2291.2,0,0,
NGC_4349,186.048,-61.866,8.45,0.37,-7.827,-0.296,0.49,1927.6,0,0,*
Pismis_13,140.526,-51.1,8.3,0.66,-5.111,4.658,0.328,2800,0,0,
NGC_2186,93.031,5.453,8.3,0.27,0.415,-1.993,0.413,2260.8,0,0,
King_20,353.305,58.469,8.3,0.65,-2.686,-2.585,0.496,1903.8,0,0,
Coin_35,33.472,60.039,8.27,0.72,-0.526,-0.396,0.341,2701.5,0,0,*
NGC_436,19.001,58.82,8.26,0.4,-0.986,-0.577,0.262,3434.7,0,0,
NGC_6694,281.317,-9.386,8.26,0.51,0.144,-1.411,0.524,1809,0,0,
Ruprecht_67,130.464,-43.363,8.25,0.43,-4.42,3.646,0.624,1532.3,0,0,
Gulliver_40,163.095,-58.394,8.24,0.25,-7.686,2.476,0.589,1618.7,0,0,*
NGC_1039,40.531,42.722,8.1,0.07,0.722,-5.681,1.949,505.5,0,0,*
NGC_744,29.652,55.473,8.24,0.38,-1.864,-1.79,0.729,1319,0,0,
Stock_2,33.856,59.522,8.23,0.38,15.966,-13.627,2.641,374.5,0,0,
NGC_7082,322.186,47.103,8.23,0.23,-0.293,-1.106,0.729,1319.2,0,0,
Coin_15,76.09,35.831,8.21,0.47,0.44,-3.781,0.824,1172,0,0,*
NGC_2335,106.69,-10.023,8.21,0.39,-0.784,-0.642,0.585,1629.8,0,0,
NGC_2301,102.943,0.465,8.2,0.03,-1.367,-2.179,1.135,859.5,0,0,
NGC_2910,142.643,-52.913,7.67,0.27,-6.802,6.159,0.746,1291.1,0,0,*
NGC_5316,208.516,-61.883,8.18,0.24,-6.297,-1.515,0.665,1441.3,0,0,*
NGC_5460,211.847,-48.285,8.11,0.09,-6.599,-3.454,1.34,730.5,0,0,*
NGC_7261,335.056,58.128,8.2,0.88,-3.932,-2.909,0.278,3261.9,0,0,
NGC_7654,351.195,61.59,8.2,0.57,-1.938,-1.131,0.596,1600.1,0,0,
NGC_7788,359.179,61.395,7.26,0.52,-3.112,-1.762,0.3,3039.2,0,0,*
Berkeley_60,4.44,60.936,8.2,0.86,-0.682,-0.732,0.236,3776.6,0,0,
NGC_6520,270.856,-27.884,8.18,0.42,0.688,-0.418,0.556,1707.9,0,0,
NGC_6709,282.836,10.334,8.23,0.26,1.414,-3.532,0.911,1064.4,0,0,*
NGC_1647,71.481,19.079,8.15,0.37,-1.057,-1.502,1.675,586.7,0,0,*
NGC_1778,77.033,37.02,8.15,0.33,0.506,-3.145,0.581,1640,0,0,
NGC_6192,250.077,-43.355,8.25,0.55,1.653,-0.188,0.571,1667.2,0,0,*
